id,text,file,node,lineNumber
line:6e4c0b98,Narrator: Welcome to the Skeleton Story demonstration.,/Users/mjake/Projects/zig-yarnspinner/yarn/demo/main.yarn,Start,37
line:f87c0cef,Narrator: This project shows Yarn Spinner features without narrative content.,/Users/mjake/Projects/zig-yarnspinner/yarn/demo/main.yarn,Start,38
line:e76945c3,Narrator: You are in the Main Area. This is the central hub.,/Users/mjake/Projects/zig-yarnspinner/yarn/demo/main.yarn,MainArea,53
line:715942b4,The area is quiet.,/Users/mjake/Projects/zig-yarnspinner/yarn/demo/main.yarn,MainArea,60
line:d2cc262a,You've explored a bit now.,/Users/mjake/Projects/zig-yarnspinner/yarn/demo/main.yarn,MainArea,61
line:44fc215d,You've been everywhere!,/Users/mjake/Projects/zig-yarnspinner/yarn/demo/main.yarn,MainArea,62
line:fead28c4,Blue waves from across the room.,/Users/mjake/Projects/zig-yarnspinner/yarn/demo/main.yarn,MainArea,68
line:689d2fb3,Talk to Blue,/Users/mjake/Projects/zig-yarnspinner/yarn/demo/main.yarn,MainArea,74
line:f9809023,Talk to Green,/Users/mjake/Projects/zig-yarnspinner/yarn/demo/main.yarn,MainArea,76
line:6fb09754,Go to Secondary Area,/Users/mjake/Projects/zig-yarnspinner/yarn/demo/main.yarn,MainArea,78
line:50be5be1,Go to Tertiary Area,/Users/mjake/Projects/zig-yarnspinner/yarn/demo/main.yarn,MainArea,80
line:c68e5c96,Check inventory,/Users/mjake/Projects/zig-yarnspinner/yarn/demo/main.yarn,MainArea,82
line:7cdf550f,End demo,/Users/mjake/Projects/zig-yarnspinner/yarn/demo/main.yarn,MainArea,84
line:eaef5278,Narrator: Thanks for exploring the Skeleton Story!,/Users/mjake/Projects/zig-yarnspinner/yarn/demo/main.yarn,MainArea,85
line:0a0fdf77,Narrator: Checking your inventory...,/Users/mjake/Projects/zig-yarnspinner/yarn/demo/main.yarn,Inventory,94
line:9c3fd800,You have the Crystal.,/Users/mjake/Projects/zig-yarnspinner/yarn/demo/main.yarn,Inventory,97
line:266ed199,You don't have the Crystal yet.,/Users/mjake/Projects/zig-yarnspinner/yarn/demo/main.yarn,Inventory,99
line:b05ed6ee,You have the Key.,/Users/mjake/Projects/zig-yarnspinner/yarn/demo/main.yarn,Inventory,103
line:2143697e,You don't have the Key yet.,/Users/mjake/Projects/zig-yarnspinner/yarn/demo/main.yarn,Inventory,105
line:b7736e09,You have the Scroll.,/Users/mjake/Projects/zig-yarnspinner/yarn/demo/main.yarn,Inventory,109
line:d0989f5b,You don't have the Scroll yet.,/Users/mjake/Projects/zig-yarnspinner/yarn/demo/main.yarn,Inventory,111
line:46a8982c,Return,/Users/mjake/Projects/zig-yarnspinner/yarn/demo/main.yarn,Inventory,114
line:47d63c7d,Blue: Hello! I'm Blue. I demonstrate basic dialogue patterns.,/Users/mjake/Projects/zig-yarnspinner/yarn/demo/characters.yarn,Blue_Dialogue,14
line:d1e63b0a,Blue: Each line appears one at a time.,/Users/mjake/Projects/zig-yarnspinner/yarn/demo/characters.yarn,Blue_Dialogue,15
line:72735f94,Blue: The player advances by clicking or pressing continue.,/Users/mjake/Projects/zig-yarnspinner/yarn/demo/characters.yarn,Blue_Dialogue,16
line:e44358e3,Blue: You came back! That increases my trust level.,/Users/mjake/Projects/zig-yarnspinner/yarn/demo/characters.yarn,Blue_Dialogue,19
line:5e12517a,"Blue: We're good friends now. Here, take this Crystal.",/Users/mjake/Projects/zig-yarnspinner/yarn/demo/characters.yarn,Blue_Dialogue,22
line:c822560d,Narrator: You received the Crystal!,/Users/mjake/Projects/zig-yarnspinner/yarn/demo/characters.yarn,Blue_Dialogue,30
line:593fe99d,"Blue: Oh, you already have it. Nevermind!",/Users/mjake/Projects/zig-yarnspinner/yarn/demo/characters.yarn,Blue_Dialogue,32
line:cf0feeea,Ask about this place,/Users/mjake/Projects/zig-yarnspinner/yarn/demo/characters.yarn,Blue_Dialogue,39
line:2a86298a,Blue: The Main Area is the hub. Everything connects here.,/Users/mjake/Projects/zig-yarnspinner/yarn/demo/characters.yarn,Blue_Dialogue,40
line:bcb62efd,Blue: You can reach Secondary Area directly.,/Users/mjake/Projects/zig-yarnspinner/yarn/demo/characters.yarn,Blue_Dialogue,41
line:06e72764,Blue: Tertiary Area needs the Key from Red.,/Users/mjake/Projects/zig-yarnspinner/yarn/demo/characters.yarn,Blue_Dialogue,42
line:90d72013,Say goodbye,/Users/mjake/Projects/zig-yarnspinner/yarn/demo/characters.yarn,Blue_Dialogue,46
line:3342448d,Blue: See you around!,/Users/mjake/Projects/zig-yarnspinner/yarn/demo/characters.yarn,Blue_Dialogue,47
line:bfa1c1a6,Green: I'm Green. I demonstrate variables and conditionals.,/Users/mjake/Projects/zig-yarnspinner/yarn/demo/characters.yarn,Green_Dialogue,60
